# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
prod;(row_vector x);real;332
prod;(vector x);real;332
qr_Q;(matrix A);matrix;340
qr_R;(matrix A);matrix;340
quad_form;(matrix A, matrix B);matrix;329
quad_form;(matrix A, vector B);real;329
quad_form_diag;(matrix m, row_vector rv);matrix;330
quad_form_diag;(matrix m, vector v);matrix;330
quad_form_sym;(matrix A, matrix B);matrix;330
quad_form_sym;(matrix A, vector B);real;330
rank;(int[] v, int s);int;322
rank;(real[] v, int s);int;322
rank;(row_vector v, int s);int;341
rank;(vector v, int s);int;341
rayleigh;~;real;377
rayleigh_ccdf_log;(real y, real sigma);real;377
rayleigh_cdf;(real y, real sigma);real;377
rayleigh_cdf_log;(real y, real sigma);real;377
rayleigh_log;(reals y, reals sigma);real;377
rayleigh_rng;(real sigma);real;377
rep_array;(T x, int k, int m, int n);T[];320
rep_array;(T x, int m, int n);T[];319
rep_array;(T x, int n);T[];319
rep_matrix;(real x, int m, int n);matrix;333
rep_matrix;(row_vector rv, int m);matrix;333
rep_matrix;(vector v, int n);matrix;333
rep_row_vector;(real x, int n);row_vector;333
rep_vector;(real x, int m);vector;333
rising_factorial;(real x, real n);real;312
round;(real x);real;302
row;(matrix x, int m);row_vector;334
rows;(matrix x);int;323
rows;(row_vector x);int;323
rows;(vector x);int;323
rows_dot_product;(matrix x, matrix y);vector;328
rows_dot_product;(row_vector x, row_vector y);vector;328
rows_dot_product;(vector x, vector y);vector;328
rows_dot_self;(matrix x);vector;329
rows_dot_self;(row_vector x);vector;329
rows_dot_self;(vector x);vector;329
scaled_inv_chi_square;~;real;371
scaled_inv_chi_square_ccdf_log;(reals y, reals nu, reals sigma);real;372
scaled_inv_chi_square_cdf;(reals y, reals nu, reals sigma);real;372
scaled_inv_chi_square_cdf_log;(reals y, reals nu, reals sigma);real;372
scaled_inv_chi_square_log;(reals y, reals nu, reals sigma);real;372
scaled_inv_chi_square_rng;(real nu, real sigma);real;372
sd;(matrix x);real;332
sd;(real x[]);real;317
sd;(row_vector x);real;332
sd;(vector x);real;332
segment;(T[] sv, int i, int n);T[];335
segment;(row_vector v, int i, int n);row_vector;335
segment;(vector v, int i, int n);vector;335
sin;(real x);real;305
singular_values;(matrix A);vector;340
sinh;(real x);real;306
size;(T[] x);int;319
skew_normal;~;real;363
skew_normal_ccdf_log;(reals y, reals mu, reals sigma reals alpha);real;363
skew_normal_cdf;(reals y, reals mu, reals sigma, reals alpha);real;363
skew_normal_cdf_log;(reals y, reals mu, reals sigma reals alpha);real;363
skew_normal_log;(reals y, reals mu, reals sigma, reals alpha);real;363
skew_normal_rng;(real mu, real sigma, real alpha);real;363
softmax;(vector x);vector;337
sort_asc;(int[] v);int[];321
sort_asc;(real[] v);real[];321
sort_asc;(row_vector v);row_vector;340
sort_asc;(vector v);vector;340
sort_desc;(int[] v);int[];321
sort_desc;(real[] v);real[];321
sort_desc;(row_vector v);row_vector;341
sort_desc;(vector v);vector;341
sort_indices_asc;(int[] v);int[];321
sort_indices_asc;(real[] v);int[];321
sort_indices_asc;(row_vector v);int[];341
sort_indices_asc;(vector v);int[];341
sort_indices_desc;(int[] v);int[];321
sort_indices_desc;(real[] v);int[];321
sort_indices_desc;(row_vector v);int[];341
sort_indices_desc;(vector v);int[];341
sqrt2;();real;294
sqrt;(real x);real;303
square;(real x);real;303
squared_distance;(row_vector x, row_vector y[]);real;318
squared_distance;(row_vector x, vector y[]);real;318
squared_distance;(vector x, row_vector y[]);real;318
squared_distance;(vector x, vector y);real;318
step;(real x);real;298
student_t;~;real;364
student_t_ccdf_log;(reals y, reals nu, reals mu, reals sigma);real;364
student_t_cdf;(reals y, reals nu, reals mu, reals sigma);real;364
student_t_cdf_log;(reals y, reals nu, reals mu, reals sigma);real;364
student_t_log;(reals y, reals nu, reals mu, reals sigma);real;364
student_t_rng;(real nu, real mu, real sigma);real;364
sub_col;(matrix x, int i, int j, int n_rows);vector;334
sub_row;(matrix x, int i, int j, int n_cols);row_vector;334
sum;(int x[]);int;316
sum;(matrix x);real;331
sum;(real x[]);real;316
sum;(row_vector x);real;331
sum;(vector x);real;331
tail;(T[] sv, int n);T[];335
tail;(row_vector rv, int n);row_vector;335
tail;(vector v, int n);vector;335
tan;(real x);real;305
tanh;(real x);real;306
tcrossprod;(matrix x);matrix;329
tgamma;(real x);real;309
to_array_1d;(int[...] a);int[];343
